source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
pushup_cdc_01.webm,1140,pushup_cdc,165.657,167.539,174.565,1.006,8.44,7.831,0.926,14.343,11.253,14.343,0,27.99,18.245,3.895,27.99,0,top,0,1,0,1,1
pushup_cdc_01.webm,1155,pushup_cdc,172.948,173.472,177.105,1.0,3.319,0.0,0.7925,7.052,7.083,7.083,0,14.557,11.846,5.072,14.557,0,top,0,0,0,0,0
pushup_cdc_01.webm,1170,pushup_cdc,175.703,169.733,167.527,1.0,20.372,0.0,1.0873,4.297,8.582,8.582,0,5.499,7.467,19.124,19.124,0,top,0,0,0,0,0
pushup_cdc_01.webm,1185,pushup_cdc,176.589,169.161,167.393,1.0,36.427,0.0,1.1129,3.411,10.791,10.791,0,1.77,1.14,0.267,1.77,0,top,0,0,0,1,1
pushup_cdc_01.webm,1200,pushup_cdc,177.905,169.529,168.527,1.0,44.22,0.0,0.8849,2.095,6.888,6.888,0,2.628,0.734,2.265,2.628,0,top,0,0,0,0,0
pushup_cdc_01.webm,1215,pushup_cdc,173.376,165.904,168.942,1.0,37.125,0.0,0.668,6.624,8.574,8.574,0,9.043,7.237,0.829,9.043,0,top,0,0,1,0,1
pushup_cdc_01.webm,1230,pushup_cdc,179.918,172.47,172.429,1.0,34.136,0.0,0.3454,0.082,8.38,8.38,0,13.062,13.108,6.962,13.108,0,top,0,0,1,0,1
pushup_cdc_01.webm,1245,pushup_cdc,169.601,169.958,175.207,1.0,22.308,0.0,1.5714,10.399,20.291,20.291,0,20.599,5.015,5.546,20.599,0,top,0,0,0,1,1
pushup_cdc_01.webm,1260,pushup_cdc,168.321,168.318,174.239,1.0,7.938,0.0,0.8996,11.679,19.891,19.891,0,2.556,3.274,1.933,3.274,0,top,0,0,0,1,1
pushup_cdc_01.webm,1275,pushup_cdc,172.606,171.748,175.444,1.0,7.31,0.0,0.4861,7.394,14.148,14.148,0,8.555,6.848,2.406,8.555,0,top,0,0,1,1,1
pushup_cdc_01.webm,1290,pushup_cdc,172.028,170.386,174.469,1.0,0.423,0.0,0.8424,7.972,8.26,8.26,0,1.154,2.72,1.947,2.72,0,top,0,0,0,0,0
pushup_cdc_01.webm,1305,pushup_cdc,175.802,170.831,172.943,1.0,2.088,0.0,0.8784,4.198,6.955,6.955,0,7.536,0.89,3.047,7.536,0,top,0,0,0,0,0
pushup_cdc_01.webm,1320,pushup_cdc,176.286,170.033,168.203,1.0,19.883,0.0,1.0535,3.714,7.441,7.441,0,0.966,1.594,9.463,9.463,0,top,0,0,0,0,0
pushup_cdc_01.webm,1335,pushup_cdc,173.374,175.907,172.743,1.0,28.228,0.0,1.5352,6.626,5.814,6.626,0,5.814,11.728,9.065,11.728,0,top,0,0,0,0,0
pushup_cdc_01.webm,1350,pushup_cdc,174.338,66.488,68.796,1.0,40.47,0.0,0.3002,5.662,64.221,64.221,1,1.926,218.458,207.535,218.458,0,top,0,0,1,1,1
pushup_cdc_01.webm,1365,pushup_cdc,55.274,158.678,97.193,0.82,62.056,21.587,2.67,124.726,68.516,124.726,0,237.715,184.062,56.697,237.715,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1380,pushup_cdc,58.926,159.684,122.639,0.8395,44.85,4.38,4.0585,121.074,114.167,121.074,0,7.29,2.009,50.804,50.804,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1395,pushup_cdc,77.04,169.526,137.26,0.6567,49.97,9.501,1.9162,102.96,111.719,111.719,0,36.166,19.65,29.19,36.166,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1410,pushup_cdc,72.886,131.1,167.465,0.3703,68.599,28.129,1.3693,107.114,108.152,108.152,0,8.292,76.719,60.306,76.719,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1425,pushup_cdc,93.266,134.019,175.781,0.246,117.661,77.192,3.5359,86.734,121.439,121.439,0,40.689,5.828,16.603,40.689,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1440,pushup_cdc,14.945,91.697,99.64,0.3064,113.247,72.778,0.2799,165.055,109.864,165.055,0,156.371,84.497,152.018,156.371,0,bottom,1,1,1,1,1
pushup_cdc_01.webm,1455,pushup_cdc,66.359,107.359,131.66,0.3397,137.962,97.492,1.786,113.641,102.073,113.641,0,102.649,31.27,63.929,102.649,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1470,pushup_cdc,59.093,96.441,154.565,0.2937,47.395,6.926,3.2869,120.907,107.577,120.907,0,14.506,21.799,45.731,45.731,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1485,pushup_cdc,133.939,170.544,162.649,0.2484,116.492,76.022,0.7326,46.061,38.987,46.061,1,149.432,147.948,16.139,149.432,0,ascending,1,1,1,1,1
pushup_cdc_01.webm,1500,pushup_cdc,99.927,177.507,135.073,0.271,79.577,39.107,0.3139,80.073,85.246,85.246,1,67.905,13.902,55.056,67.905,0,bottom,1,1,1,1,1
pushup_cdc_01.webm,1515,pushup_cdc,77.613,175.543,123.587,0.2682,92.211,51.741,0.3208,102.387,112.272,112.272,1,44.551,3.92,22.932,44.551,0,bottom,1,1,1,1,1
pushup_cdc_01.webm,1530,pushup_cdc,83.492,175.985,125.084,0.3115,115.041,74.571,1.5762,96.508,119.193,119.193,0,11.736,0.882,2.988,11.736,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1545,pushup_cdc,94.683,161.033,143.577,0.3131,89.856,49.386,1.7469,85.317,105.158,105.158,0,22.344,29.851,36.922,36.922,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1560,pushup_cdc,119.743,176.503,129.084,0.2685,19.419,-21.051,1.4321,60.257,85.812,85.812,1,50.034,30.886,28.935,50.034,0,ascending,1,0,0,1,1
pushup_cdc_01.webm,1575,pushup_cdc,154.787,120.024,135.534,0.2022,171.059,130.589,2.9413,25.213,85.232,85.232,1,69.966,112.762,12.877,112.762,0,ascending,1,1,0,1,1
pushup_cdc_01.webm,1590,pushup_cdc,51.316,70.097,122.853,0.2,140.869,100.399,1.1784,128.684,38.977,128.684,0,206.584,99.681,25.317,206.584,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1605,pushup_cdc,165.651,146.765,136.573,0.3048,175.462,134.992,1.389,14.349,77.96,77.96,1,228.275,153.07,27.392,228.275,0,top,1,1,0,1,1
pushup_cdc_01.webm,1620,pushup_cdc,102.672,152.368,170.509,0.4175,75.873,35.404,0.8331,77.328,76.311,77.328,0,125.741,11.186,67.755,125.741,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1635,pushup_cdc,112.851,135.131,110.411,0.5446,37.909,-2.561,0.0927,67.149,97.57,97.57,1,20.324,34.415,119.989,119.989,0,ascending,1,0,1,1,1
pushup_cdc_01.webm,1650,pushup_cdc,116.929,139.925,110.952,0.5997,44.679,4.209,0.1671,63.071,86.104,86.104,1,8.141,9.571,1.082,9.571,0,ascending,1,1,1,1,1
pushup_cdc_01.webm,1665,pushup_cdc,116.378,143.921,114.322,0.6241,31.671,-8.799,1.5574,63.622,59.064,63.622,1,1.101,7.979,6.727,7.979,0,ascending,1,0,0,1,1
pushup_cdc_01.webm,1680,pushup_cdc,114.563,151.622,118.318,0.6159,46.603,6.133,2.6673,65.437,76.486,76.486,1,3.624,15.376,7.978,15.376,0,ascending,1,1,0,1,1
pushup_cdc_01.webm,1695,pushup_cdc,115.879,157.422,126.288,0.6499,81.902,41.432,1.2659,64.121,72.976,72.976,1,2.628,11.578,15.913,15.913,0,ascending,1,1,0,1,1
pushup_cdc_01.webm,1710,pushup_cdc,121.474,162.706,132.364,0.6218,47.201,6.732,1.1256,58.526,52.739,58.526,1,11.171,10.549,12.132,12.132,0,ascending,1,1,0,1,1
pushup_cdc_01.webm,1725,pushup_cdc,120.61,171.815,141.384,0.6762,26.554,-13.916,1.2117,59.39,60.252,60.252,1,1.726,18.188,18.009,18.188,0,ascending,1,0,0,1,1
pushup_cdc_01.webm,1740,pushup_cdc,116.973,179.761,147.406,0.6769,38.867,-1.602,1.227,63.027,68.705,68.705,1,7.261,15.864,12.023,15.864,0,ascending,1,0,0,1,1
pushup_cdc_01.webm,1755,pushup_cdc,111.839,169.111,153.847,0.6749,45.731,5.261,1.3736,68.161,78.089,78.089,1,10.25,21.263,12.859,21.263,0,ascending,1,1,0,1,1
pushup_cdc_01.webm,1770,pushup_cdc,100.676,155.838,159.816,0.6968,53.835,13.366,2.1133,79.324,97.319,97.319,1,22.287,26.501,11.917,26.501,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1785,pushup_cdc,98.192,156.5,160.426,0.6881,52.038,11.569,2.2769,81.808,105.476,105.476,1,4.959,1.322,1.218,4.959,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1800,pushup_cdc,93.269,154.522,161.454,0.6769,49.52,9.05,1.9805,86.731,107.21,107.21,1,9.83,3.95,2.052,9.83,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1815,pushup_cdc,92.616,155.019,160.821,0.6601,46.684,6.214,1.9819,87.384,104.945,104.945,1,1.304,0.994,1.264,1.304,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1830,pushup_cdc,97.466,153.344,165.747,0.6859,54.27,13.801,1.9949,82.534,98.077,98.077,1,9.683,3.344,9.837,9.837,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1845,pushup_cdc,115.245,163.69,162.862,0.7344,52.908,12.438,1.7129,64.755,90.149,90.149,1,35.496,20.655,5.762,35.496,0,ascending,1,1,0,1,1
pushup_cdc_01.webm,1860,pushup_cdc,108.179,159.75,162.849,0.748,47.792,7.323,1.4205,71.821,85.792,85.792,1,14.107,7.865,0.026,14.107,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1875,pushup_cdc,108.538,159.283,162.352,0.7349,45.959,5.489,1.3943,71.462,83.62,83.62,1,0.716,0.933,0.992,0.992,0,bottom,1,1,0,1,1
pushup_cdc_01.webm,1890,pushup_cdc,110.619,160.151,161.483,0.7156,49.666,9.196,1.639,69.381,89.695,89.695,1,4.157,1.734,1.736,4.157,0,ascending,1,1,0,1,1
